facility_id,facility_name,facility_type,address,city,state,zip,esd_procedure,created_at
HSOP104494,TidalHealth Peninsula Regional Berlin Maryland,Hospital/Clinic,10344 Old Ocn Blvd,Berlin,Maryland,21811,No,
HSOP104495,SSM Health St. Agnes Hospital-Fond du Lac Fond Du Lac Wisconsin,Hospital/Clinic,420 E Division St,Fond Du Lac,Wisconsin,54935,No,
HSOP104496,Matagorda Medical Group Bay City Texas,Hospital/Clinic,600 Hospital Cir,Bay City,Texas,77414,No,
HSOP104497,Mary Lanning Physician Clinic Hastings Nebraska,Hospital/Clinic,620 N Denver Ave,Hastings,Nebraska,68901,No,
HSOP104498,Saline Memorial Hospital Benton Arkansas,Hospital/Clinic,3 Medical Park Dr,Benton,Arkansas,72015,No,
HSOP104499,Springhill Medical Center Springhill Louisiana,Hospital/Clinic,401 11th St Ne,Springhill,Louisiana,71075,No,
HSOP104500,Salina Regional Health Center Salina Kansas,Hospital/Clinic,737 E Crawford St,Salina,Kansas,67401,No,
HSOP104501,Mercy Hospital Aurora Springfield Missouri,Hospital/Clinic,2115 S Fremont Ave,Springfield,Missouri,65804,No,
HSOP104502,YanktonMedical Clinic Yankton South Dakota,Hospital/Clinic,1104 W 8th St,Yankton,South Dakota,57078,No,
HSOP104503,ChristianaCare Hospitals Philadelphia Pennsylvania,Hospital/Clinic,7600 Central Ave,Philadelphia,Pennsylvania,19111,No,
HSOP104504,Eastern Maine Medical Center Sebring Florida,Hospital/Clinic,5825 Us Highway 27n,Sebring,Florida,33870,No,
HSOP104505,Christus Trinity Clinic Longview Texas,Hospital/Clinic,701 E Marshall Ave Ste 200,Longview,Texas,75601,No,
HSOP104506,Lenox Hill Hospital at Northwell Health Brooklyn New York,Hospital/Clinic,730 58th St,Brooklyn,New York,11220,No,
HSOP104507,Ascension Medical Group St. Vincent Indianapolis Indiana,Hospital/Clinic,2010 W 86th St Ste 111,Indianapolis,Indiana,46260,No,
HSOP104508,Hca Florida Bayonet Point Hospital Trinity Florida,Hospital/Clinic,1818 Short Branch Dr,Trinity,Florida,34655,No,
HSOP104509,Dignity Health Laguna Niguel California,Hospital/Clinic,30271 Golden Lantern,Laguna Niguel,California,92677,No,
HSOP104510,MyMichigan Medical Center West Branch Michigan,Hospital/Clinic,335 E Houghton Ave,West Branch,Michigan,48661,No,
HSOP104511,Aurora St Luke'S Medical Center Milwaukee Wisconsin,Hospital/Clinic,2901 W Kk River Pkwy,Milwaukee,Wisconsin,53215,No,
HSOP104512,Aurora St. Luke's Medical Center Cudahy Wisconsin,Hospital/Clinic,5900 S Lake Dr,Cudahy,Wisconsin,53110,No,
HSOP104513,Children's National Hospital Manassas Virginia,Hospital/Clinic,8640 Sudley Rd Ste 201,Manassas,Virginia,20110,No,
HSOP104514,Capitol Hill Medical Center Washington District of Columbia,Hospital/Clinic,700 2nd Street,Washington,District of Columbia,20002,No,
HSOP104515,Virtua Mount Holly Hospital Lumberton New Jersey,Hospital/Clinic,693 Main St Ste 2,Lumberton,New Jersey,8048,No,
HSOP104516,Lee's Summit Medical Center Lees Summit Missouri,Hospital/Clinic,3601 Ne Ralph Powell Rd Ste A,Lees Summit,Missouri,64064,No,
HSOP104517,Mon Health Medical Center Morgantown West Virginia,Hospital/Clinic,1000 Mon Health Medical Park Dr Ste 1101,Morgantown,West Virginia,26505,No,
HSOP104518,Connecticut GI Bristol Connecticut,Hospital/Clinic,25 Newell Rd,Bristol,Connecticut,6010,No,
HSOP104519,Tripler Army Medical Center Kahului Hawaii,Hospital/Clinic,39 W Kamehameha Ave,Kahului,Hawaii,96732,No,
HSOP104520,Hospitals of the University of Pennsylvania-Penn Presbyterian Radnor Pennsylvania,Hospital/Clinic,250 King Of Prussia Rd,Radnor,Pennsylvania,19087,No,
HSOP104521,UW Medical Center  Montlake Conway Arkansas,Hospital/Clinic,965 Carson Cv Ste A,Conway,Arkansas,72034,No,
HSOP104522,UW Medical Center  Montlake Seattle Washington,Hospital/Clinic,"Surgery Pavilion, 1959 NE Pacific St.",Seattle,Washington,98195,No,
HSOP104523,Vanderbilt University Medical Center Lebanon Tennessee,Hospital/Clinic,1405 W Baddour Pkwy,Lebanon,Tennessee,37087,No,
HSOP104524,Logan Regional Medical Center Logan West Virginia,Hospital/Clinic,77 Hospital Dr,Logan,West Virginia,25601,No,
HSOP104525,Borland Groover Clinic Jacksonville Beach Florida,Hospital/Clinic,1375 Roberts Dr,Jacksonville Beach,Florida,32250,No,
HSOP104526,Brooks-TLC Hospital System Dunkirk New York,Hospital/Clinic,614 Central Ave,Dunkirk,New York,14048,No,
HSOP104527,Los Alamitos Medical Center Los Alamitos California,Hospital/Clinic,10861 Cherry Street,Los Alamitos,California,90720,No,
HSOP104528,McDuffie Surgical Clinic PC Thomson Georgia,Hospital/Clinic,462 Mt Pleasant Rd,Thomson,Georgia,30824,No,
HSOP104529,Northwest Family Clinics Plymouth Minnesota,Hospital/Clinic,1495 Hwy 101 N,Plymouth,Minnesota,55447,No,
HSOP104530,Franciscan Health Munster Indiana,Hospital/Clinic,701 Superior Ave,Munster,Indiana,46321,No,
HSOP104531,Monmouth Medical Center Southern Campus Lakewood New Jersey,Hospital/Clinic,475 Route 70,Lakewood,New Jersey,8701,No,
HSOP104532,Ascension SE Wisconsin Hospital-Elmbrook Campus Waukesha Wisconsin,Hospital/Clinic,1111 Delafield St,Waukesha,Wisconsin,53188,No,
HSOP104533,Digestive Disease Center of CT Waterbury Connecticut,Hospital/Clinic,60 Westwood Ave,Waterbury,Connecticut,6708,No,
HSOP104534,Digestive Medicine Associates Hialeah Florida,Hospital/Clinic,2140 W 68th St,Hialeah,Florida,33016,No,
HSOP104535,Aspirus Wisconsin Rapids Hospital Wisconsin Rapids Wisconsin,Hospital/Clinic,420 Dewey Street,Wisconsin Rapids,Wisconsin,54495,No,
HSOP104536,AHN Allegheny Valley Hospital Brackenridge Pennsylvania,Hospital/Clinic,985 Penn St Ste A,Brackenridge,Pennsylvania,15014,No,
HSOP104537,St. Elizabeth Florence Hospital Crestview Hills Kentucky,Hospital/Clinic,425 Centre View Blvd,Crestview Hills,Kentucky,41017,No,
HSOP104538,Uofl Health Jewish Hospital Louisville Kentucky,Hospital/Clinic,4402 Churchman Ave,Louisville,Kentucky,40215,No,
